"Rank","Player","REC","TGT","YDS","Y/R","LG","20+","TD","ATT","YDS","TD","FL","G","FPTS","FPTS/G","ROST"
"233","Keke Coutee (IND)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"234","DaeSean Hamilton (DEN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"235","Robert Foster (DAL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"236","Javon Wims (LV)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"237","Auden Tate (CIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"238","Richie James Jr. (SF)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"239","Isaac Whitney (ARI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"240","Marcus Kemp (KC)","0","1","0","0","0","0","0","0","0","0","0","2","0.0","0.0","0.0%"
"241","Justin Hardee (NYJ)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"242","Jalen McCleskey (NO)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"243","J.J. Arcega-Whiteside (PHI)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.1%"
"244","Hakeem Butler (PHI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"245","Kelvin Harmon (WAS)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"246","Shaq Roland (CHI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"247","Cody Thompson (SEA)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"248","Davion Davis (HOU)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"249","DeAndre Thompkins (GB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"250","Travis Fulgham (DEN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"251","Parris Campbell (IND)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4.5%"
"252","Terry Godwin (JAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"253","Keith Kirkwood (CAR)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"254","Vyncint Smith (NYJ)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"255","Caleb Scott (TEN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"256","Cameron Batson (TEN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"257","Devin Ross (NE)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"258","Rico Gafford (DEN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
