"Rank","Player","REC","TGT","YDS","Y/R","LG","20+","TD","ATT","YDS","TD","FL","G","FPTS","FPTS/G","ROST"
"207","Joshua Perkins (NYJ)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"208","Garrett Griffin (NO)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"209","O.J. Howard (TB)","0","1","0","0","0","0","0","0","0","0","0","2","0.0","0.0","1.2%"
"210","Adam Shaheen (MIA)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"211","Antony Auclair (HOU)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"212","Robert Tonyan (GB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","18.6%"
"213","Mason Schreck (CIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"214","Cethan Carter (MIA)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"215","Temarrick Hemingway (WAS)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"216","J.P. Holtz (CHI)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"217","Alex Ellis (ARI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"218","Zach Wood (NO)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"219","Logan Thomas (WAS)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","27.1%"
"220","Richard Rodgers (PHI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"221","Jordan Matthews (SF)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"222","Eric Ebron (PIT)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3.0%"
"223","Xavier Grimble (BAL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"224","Maxx Williams (ARI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.4%"
"225","Darren Fells (TB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
""
""
