"Rank","Player","ATT","YDS","Y/A","LG","20+","TD","REC","TGT","YDS","Y/R","TD","FL","G","FPTS","FPTS/G","ROST"
"46","Nyheim Hines (IND)","56","276","4.9","34","0","2","38","54","291","7.7","1","2","16","108.7","6.8","44.8%"
"47","Mark Ingram II (NO)","160","554","3.5","28","0","2","27","35","162","6.0","0","1","14","108.6","7.8","39.5%"
"48","Kenneth Gainwell (PHI)","56","213","3.8","18","0","4","29","43","244","8.4","1","1","15","104.7","7.0","10.6%"
"49","Brandon Bolden (NE)","37","180","4.9","24","0","0","39","47","385","9.9","1","0","15","103.5","6.9","10.7%"
"50","Kenyan Drake (LV)","63","254","4.0","21","0","2","30","40","291","9.7","1","0","12","102.5","8.5","29.5%"
"51","Zack Moss (BUF)","91","337","3.7","17","0","4","21","30","191","9.1","1","1","12","101.8","8.5","36.9%"
"52","Boston Scott (PHI)","87","373","4.3","23","0","7","13","16","83","6.4","0","1","11","98.6","9.0","27.6%"
"53","Rashaad Penny (SEA)","96","559","5.8","47","0","5","6","8","48","8.0","0","0","9","96.7","10.7","73.2%"
"54","Rex Burkhead (HOU)","110","403","3.7","36","0","3","22","28","144","6.5","0","0","14","94.7","6.8","31.1%"
"55","D'Onta Foreman (TEN)","112","497","4.4","35","0","3","8","9","108","13.5","0","1","8","84.5","10.6","61.7%"
"56","Justin Jackson (LAC)","65","344","5.3","75","0","2","22","24","178","8.1","0","1","13","84.2","6.5","44.0%"
"57","D'Ernest Johnson (CLE)","75","411","5.5","30","0","2","18","24","127","7.1","0","0","12","83.8","7.0","19.1%"
"58","Samaje Perine (CIN)","55","246","4.5","46","0","1","27","31","196","7.3","1","0","15","83.2","5.5","9.4%"
