97,Christian Kirk    ARI,WR,17,33,0,0,11,0,77,982,5,0,0,0,0,12.2,207.62
97,Rashaad Penny    SEA,RB,10,0,0,0,749,6,6,48,0,0,0,0,0,12.2,121.7
100,Javonte Williams    DEN,RB,17,0,0,0,903,4,43,316,3,0,0,0,0,12.1,204.9
100,Davis Mills    HOU,QB,13,2664,16,10,44,0,0,0,0,0,0,0,0,12.1,156.96
100,T.J. Hockenson    DET,TE,12,0,0,0,0,0,61,583,4,0,0,0,0,12.1,145.3
100,Darren Waller    LV,TE,11,0,0,0,0,0,55,665,2,0,0,0,0,12.1,133.5
100,Henry Ruggs III    LV,WR,7,0,0,0,16,0,24,469,2,0,0,0,0,12.1,84.5
105,Chris Carson    SEA,RB,4,0,0,0,232,3,6,29,0,0,0,0,0,12,48.1
106,Chase Edmonds    ARI,RB,12,0,0,0,592,2,43,311,0,0,0,0,0,11.9,143.3
106,Joe Flacco    NYJ,QB,2,338,3,0,3,0,0,0,0,0,0,0,0,11.9,23.82
108,Clyde Edwards-Helaire    KC,RB,10,0,0,0,517,4,19,129,2,0,0,0,0,11.8,117.6
108,Tyler Huntley    BAL,QB,7,1081,3,4,294,2,0,0,0,0,0,0,0,11.8,82.64
108,Duke Johnson    MIA,RB,5,0,0,0,330,3,4,41,0,0,0,0,0,11.8,59.1
111,Trevor Lawrence    JAX,QB,17,3641,12,17,334,2,0,0,0,0,0,0,0,11.7,199.04
111,Zach Wilson    NYJ,QB,13,2334,9,11,185,4,0,0,0,0,0,0,0,11.7,151.86
111,Corey Davis    NYJ,WR,9,0,0,0,0,0,34,492,4,0,0,0,0,11.7,105.2
114,Devin Singletary    BUF,RB,17,0,0,0,870,7,40,228,1,0,0,0,0,11.6,197.8
114,Russell Gage    ATL,WR,14,0,0,0,0,0,66,770,4,0,0,0,0,11.6,163
114,J.D. McKissic    WAS,RB,11,0,0,0,212,2,43,397,2,0,0,0,0,11.6,127.9
114,Josh Johnson    BAL,QB,4,638,5,2,28,0,0,0,0,0,0,0,0,11.6,46.32
118,Darrel Williams    KC,RB,17,0,0,0,558,6,47,452,2,0,0,0,0,11.5,196
118,Tyler Boyd    CIN,WR,16,46,0,0,22,0,67,828,5,0,0,0,0,11.5,183.84
120,Saquon Barkley    NYG,RB,13,0,0,0,593,2,41,263,2,0,0,0,0,11.4,148.6
121,Chase Claypool    PIT,WR,15,0,0,0,96,0,59,860,2,0,0,0,0,11.1,166.6
121,Jarvis Landry    CLE,WR,12,0,0,0,40,2,52,570,2,0,0,0,0,11.1,133
121,Sterling Shepard    NYG,WR,7,0,0,0,-9,0,36,366,1,0,0,0,0,11.1,77.7
124,Michael Carter    NYJ,RB,14,0,0,0,639,4,36,325,0,0,0,0,0,11,154.4
124,Dallas Goedert    PHI,TE,15,0,0,0,0,0,56,830,4,0,0,0,0,11,165
124,Jakobi Meyers    NE,WR,17,45,0,0,9,0,83,866,2,0,0,0,0,11,186.3
124,Mike White    NYJ,QB,4,953,5,8,-1,0,0,0,0,0,0,0,0,11,44.02
128,Micah Parsons    DAL,LB,16,0,0,0,0,0,0,0,0,13,0,3,0,10.9,173.95
128,AJ Dillon    GB,RB,17,0,0,0,803,5,34,313,2,0,0,0,0,10.9,185.6
128,DeVonta Smith    PHI,WR,17,0,0,0,0,0,64,916,5,0,0,1,0,10.9,185.6
128,Dawson Knox    BUF,TE,15,0,0,0,4,0,49,587,9,0,0,1,0,10.9,164.1
132,Cam Newton    CAR,QB,8,684,4,5,230,5,0,0,0,0,0,0,0,10.8,86.36
132,Trey Lance    SF,QB,6,603,5,2,168,1,0,0,0,0,0,0,0,10.8,64.92
134,Dallas Cowboys    DAL,DST,17,0,0,0,0,0,0,0,0,41,26,13,9,10.7,182
135,Foyesade Oluokun    ATL,ILB,17,0,0,0,0,0,0,0,0,2,3,1,0,10.6,180.4
135,Justin Fields    CHI,QB,12,1870,7,10,420,2,0,0,0,0,0,0,0,10.6,126.8
135,Kendrick Bourne    NE,WR,17,25,1,0,125,0,55,800,5,0,0,0,0,10.6,180.5
135,Marvin Jones Jr.    JAX,WR,17,0,0,0,0,0,73,832,4,0,0,0,0,10.6,180.2
135,Zach Ertz    ARI,TE,17,0,0,0,4,0,74,763,5,0,0,0,0,10.6,180.7
140,Andy Dalton    CHI,QB,8,1515,8,9,76,0,0,0,0,0,0,0,0,10.5,84.2
141,Tony Pollard    DAL,RB,15,0,0,0,719,2,39,337,0,0,0,0,0,10.4,156.6
141,Kyle Pitts    ATL,TE,17,0,0,0,0,0,68,1026,1,0,0,0,0,10.4,176.6
141,D'Onta Foreman    TEN,RB,9,0,0,0,566,3,9,123,0,0,0,0,0,10.4,93.9
