4 players
2: PPG
35 : 122.23440476190476 : ('Christian McCaffrey', 'Patrick Mahomes', 'Davante Adams', 'Dalvin Cook', 'Darren Waller')
36 : 122.19952380952381 : ('Christian McCaffrey', 'Davante Adams', 'Travis Kelce', 'Aaron Jones', 'Dak Prescott')
37 : 122.16166666666668 : ('Derrick Henry', 'Christian McCaffrey', 'Josh Allen', 'Davante Adams', 'Travis Kelce')
38 : 122.06000000000002 : ('Christian McCaffrey', 'Alvin Kamara', 'Travis Kelce', 'Dak Prescott', 'Calvin Ridley')
39 : 122.05625 : ('Christian McCaffrey', 'Alvin Kamara', 'Tyreek Hill', 'Travis Kelce', 'Aaron Rodgers')
40 : 122.03065476190477 : ('Christian McCaffrey', 'Josh Allen', 'Davante Adams', 'Dalvin Cook', 'Darren Waller')
41 : 122.00190476190477 : ('Christian McCaffrey', 'Patrick Mahomes', 'Tyreek Hill', 'Dalvin Cook', 'Travis Kelce')
42 : 122.00125 : ('Christian McCaffrey', 'Alvin Kamara', 'Davante Adams', 'Kyler Murray', 'Darren Waller')
43 : 121.83398809523811 : ('Christian McCaffrey', 'Davante Adams', 'Dalvin Cook', 'Travis Kelce', 'Tom Brady')
44 : 121.79815476190477 : ('Christian McCaffrey', 'Josh Allen', 'Tyreek Hill', 'Dalvin Cook', 'Travis Kelce')
45 : 121.77916666666667 : ('Christian McCaffrey', 'Alvin Kamara', 'Tyreek Hill', 'Dak Prescott', 'Darren Waller')
46 : 121.76875000000001 : ('Christian McCaffrey', 'Alvin Kamara', 'Tyreek Hill', 'Travis Kelce', 'Kyler Murray')
47 : 121.67083333333335 : ('Christian McCaffrey', 'Alvin Kamara', 'Patrick Mahomes', 'Travis Kelce', 'Stefon Diggs')
48 : 121.5175 : ('Christian McCaffrey', 'George Kittle', 'Alvin Kamara', 'Patrick Mahomes', 'Davante Adams')
49 : 121.46708333333333 : ('Christian McCaffrey', 'Josh Allen', 'Alvin Kamara', 'Travis Kelce', 'Stefon Diggs')



5 Players: 1qb
PPG
0 : 132.16857142857143 : ('Christian McCaffrey', 'Alvin Kamara', 'Davante Adams', 'Dalvin Cook', 'Dak Prescott')
1 : 130.00857142857143 : ('Christian McCaffrey', 'Alvin Kamara', 'Patrick Mahomes', 'Davante Adams', 'Dalvin Cook')
2 : 129.96666666666667 : ('Christian McCaffrey', 'Alvin Kamara', 'Tyreek Hill', 'Davante Adams', 'Dak Prescott')
3 : 129.80482142857142 : ('Christian McCaffrey', 'Josh Allen', 'Alvin Kamara', 'Davante Adams', 'Dalvin Cook')
4 : 129.00482142857143 : ('Christian McCaffrey', 'Alvin Kamara', 'Davante Adams', 'Dalvin Cook', 'Aaron Rodgers')
5 : 128.90857142857143 : ('Christian McCaffrey', 'Tyreek Hill', 'Davante Adams', 'Dalvin Cook', 'Dak Prescott')
6 : 128.89333333333335 : ('Christian McCaffrey', 'Alvin Kamara', 'Davante Adams', 'Travis Kelce', 'Dak Prescott')
7 : 128.85875 : ('Derrick Henry', 'Christian McCaffrey', 'Alvin Kamara', 'Davante Adams', 'Dak Prescott')
8 : 128.71732142857144 : ('Christian McCaffrey', 'Alvin Kamara', 'Davante Adams', 'Dalvin Cook', 'Kyler Murray')
9 : 128.5775 : ('Christian McCaffrey', 'Alvin Kamara', 'Davante Adams', 'Dak Prescott', 'Stefon Diggs')
10 : 128.4952380952381 : ('Christian McCaffrey', 'Alvin Kamara', 'Tyreek Hill', 'Dalvin Cook', 'Dak Prescott')
11 : 128.12982142857143 : ('Christian McCaffrey', 'Alvin Kamara', 'Davante Adams', 'Dalvin Cook', 'Deshaun Watson')
12 : 127.83523809523811 : ('Christian McCaffrey', 'Davante Adams', 'Dalvin Cook', 'Travis Kelce', 'Dak Prescott')
13 : 127.80666666666666 : ('Christian McCaffrey', 'Alvin Kamara', 'Patrick Mahomes', 'Tyreek Hill', 'Davante Adams')
